Date,Open,High,Low,Close,Adj Close,Volume
2001-05-02,13.733333,13.856667,13.733333,13.850000,3.372719,12900
2001-05-03,13.726667,13.766667,13.650000,13.753333,3.349180,3900
2001-05-04,13.716667,13.790000,13.716667,13.786667,3.357295,7800
2001-05-07,13.816667,13.910000,13.816667,13.886667,3.381649,18300
2001-05-08,13.883333,13.883333,13.766667,13.766667,3.352426,6300
2001-05-09,13.823333,13.850000,13.780000,13.830000,3.367849,9600
2001-05-10,13.883333,13.893333,13.820000,13.820000,3.365414,8700
2001-05-11,13.950000,13.950000,13.786667,13.833333,3.368661,2400
2001-05-14,13.850000,13.850000,13.800000,13.800000,3.360543,3600
2001-05-15,13.850000,13.850000,13.786667,13.786667,3.357295,8700
2001-05-16,13.953333,14.176667,13.953333,14.176667,3.452267,2700
2001-05-17,14.160000,14.160000,14.033333,14.033333,3.417365,5700
2001-05-18,14.000000,14.033333,13.943333,14.016667,3.413304,3900
2001-05-21,13.900000,14.003333,13.826667,13.866667,3.376775,8700
2001-05-22,13.930000,13.950000,13.896667,13.896667,3.384084,4800
2001-05-23,13.933333,13.933333,13.933333,13.933333,3.393011,600
2001-05-24,13.916667,14.053333,13.833333,14.053333,3.422233,3900
2001-05-25,13.926667,13.966667,13.926667,13.966667,3.401128,600
2001-05-29,13.850000,14.036667,13.850000,14.036667,3.418174,38100
2001-05-30,14.046667,14.066667,13.946667,14.066667,3.425480,6900
2001-05-31,14.026667,14.053333,13.950000,13.950000,3.397071,9000
2001-06-01,13.983333,14.033333,13.933333,14.010000,3.411680,9000
2001-06-04,13.916667,14.040000,13.860000,14.033333,3.417365,2400
2001-06-05,13.963333,14.056667,13.963333,14.056667,3.423045,2700
2001-06-06,14.033333,14.053333,13.983333,13.983333,3.405188,8700
2001-06-07,13.950000,13.956667,13.850000,13.906667,3.386517,7500
2001-06-08,13.883333,13.883333,13.776667,13.820000,3.396183,8100
2001-06-11,13.736667,13.823333,13.736667,13.786667,3.387991,6900
2001-06-12,13.750000,13.750000,13.750000,13.750000,3.378981,1200
2001-06-13,13.853333,13.853333,13.783333,13.783333,3.387172,1200
2001-06-14,13.750000,13.750000,13.666667,13.666667,3.358504,26400
2001-06-15,13.583333,13.583333,13.533333,13.533333,3.325738,2400
2001-06-18,13.516667,13.516667,13.363333,13.403333,3.293790,7500
2001-06-19,13.416667,13.420000,13.333333,13.370000,3.285599,44700
2001-06-20,13.366667,13.400000,13.366667,13.400000,3.292971,1500
2001-06-21,13.616667,13.686667,13.566667,13.616667,3.346216,3300
2001-06-22,13.610000,13.636667,13.556667,13.556667,3.331470,12600
2001-06-25,13.603333,13.626667,13.546667,13.546667,3.329014,2700
2001-06-26,13.580000,13.633333,13.560000,13.566667,3.333927,4500
2001-06-27,13.583333,13.700000,13.583333,13.693333,3.365056,8100
2001-06-28,13.740000,13.840000,13.740000,13.840000,3.401098,10200
2001-06-29,13.836667,13.876667,13.753333,13.753333,3.379799,20700
2001-07-02,13.800000,14.010000,13.800000,14.010000,3.442874,8100
2001-07-03,13.916667,13.926667,13.826667,13.900000,3.415844,2400
2001-07-05,13.826667,13.826667,13.810000,13.823333,3.397002,12900
2001-07-06,13.660000,13.730000,13.660000,13.716667,3.370790,4500
2001-07-09,13.686667,13.703333,13.686667,13.700000,3.366694,2100
2001-07-10,13.676667,13.676667,13.593333,13.636667,3.351130,8100
2001-07-11,13.583333,13.710000,13.583333,13.706667,3.368332,10800
2001-07-12,13.653333,13.660000,13.586667,13.660000,3.356864,2700
2001-07-13,13.700000,13.720000,13.690000,13.720000,3.371609,2400
2001-07-16,13.733333,13.796667,13.710000,13.796667,3.390450,20100
2001-07-17,13.670000,13.796667,13.670000,13.796667,3.390450,6600
2001-07-18,13.923333,13.923333,13.916667,13.916667,3.419938,9600
2001-07-19,14.020000,14.020000,13.836667,13.866667,3.407651,2700
2001-07-20,13.910000,13.960000,13.910000,13.960000,3.430587,900
2001-07-23,13.830000,13.850000,13.783333,13.803333,3.392087,3600
2001-07-24,13.743333,13.743333,13.566667,13.566667,3.333927,3900
2001-07-25,13.733333,13.806667,13.733333,13.806667,3.392907,5700
2001-07-26,13.716667,13.726667,13.716667,13.726667,3.373247,600
2001-07-27,13.783333,13.783333,13.720000,13.720000,3.371609,3000
2001-07-30,13.716667,13.716667,13.660000,13.716667,3.370790,1800
2001-07-31,13.833333,13.930000,13.833333,13.930000,3.423216,1200
2001-08-01,13.916667,13.916667,13.820000,13.820000,3.396183,3000
2001-08-02,13.900000,13.900000,13.843333,13.890000,3.413384,4200
2001-08-03,13.806667,13.836667,13.746667,13.823333,3.397002,3000
2001-08-06,13.793333,13.793333,13.770000,13.770000,3.383897,1200
2001-08-07,13.716667,13.856667,13.700000,13.833333,3.399460,31800
2001-08-08,13.776667,13.870000,13.700000,13.780000,3.386352,3900
2001-08-09,13.753333,13.800000,13.733333,13.800000,3.391270,2700
2001-08-10,13.783333,13.890000,13.783333,13.890000,3.413384,600
2001-08-13,13.896667,13.896667,13.846667,13.846667,3.402736,7800
2001-08-14,13.916667,13.916667,13.886667,13.890000,3.413384,2700
2001-08-15,14.000000,14.026667,13.986667,14.013333,3.443695,24600
2001-08-16,14.016667,14.130000,14.016667,14.130000,3.472363,9300
2001-08-17,14.143333,14.143333,14.050000,14.090000,3.462535,31200
2001-08-20,14.156667,14.323333,14.133333,14.323333,3.519874,32700
2001-08-21,14.016667,14.423333,14.016667,14.296667,3.513321,74400
2001-08-22,14.333333,14.406667,14.253333,14.363333,3.529704,15900
2001-08-23,14.450000,14.513333,14.413333,14.500000,3.563289,238800
2001-08-24,14.500000,14.630000,14.496667,14.580000,3.582949,48900
2001-08-27,14.533333,14.570000,14.533333,14.540000,3.573117,6300
2001-08-28,14.400000,14.433333,14.336667,14.390000,3.536256,10500
2001-08-29,14.416667,14.416667,14.250000,14.310000,3.516598,86100
2001-08-30,14.366667,14.463333,14.350000,14.420000,3.543629,50400
2001-08-31,14.390000,14.436667,14.310000,14.396667,3.537897,19200
2001-09-04,14.366667,14.623333,14.366667,14.540000,3.573117,42600
2001-09-05,14.420000,14.666667,14.420000,14.633333,3.596055,53100
2001-09-06,14.590000,14.590000,14.423333,14.483333,3.559194,56700
2001-09-07,14.433333,14.490000,14.326667,14.406667,3.540351,30900
2001-09-10,14.440000,14.483333,14.366667,14.440000,3.548544,16200
2001-09-17,14.033333,14.333333,14.033333,14.333333,3.522332,45600
2001-09-18,14.366667,14.406667,14.200000,14.316667,3.518237,20100
2001-09-19,14.333333,14.333333,13.816667,14.016667,3.444512,14100
2001-09-20,13.883333,13.940000,13.696667,13.800000,3.391270,54300
2001-09-21,13.333333,13.333333,13.090000,13.313333,3.271671,123000
2001-09-24,13.416667,13.650000,13.400000,13.606667,3.343759,41700
2001-09-25,13.633333,13.766667,13.576667,13.740000,3.376524,43500
2001-09-26,13.833333,13.833333,13.656667,13.656667,3.356045,23400
2001-09-27,13.656667,13.916667,13.610000,13.916667,3.419938,47400
2001-09-28,13.950000,14.000000,13.826667,13.966667,3.432226,54000
2001-10-01,13.850000,13.866667,13.773333,13.846667,3.458954,25200
2001-10-02,13.866667,13.956667,13.796667,13.930000,3.479773,49500
2001-10-03,13.900000,13.976667,13.816667,13.976667,3.491430,55200
2001-10-04,13.920000,13.980000,13.876667,13.883333,3.468114,86700
2001-10-05,13.916667,14.023333,13.840000,14.023333,3.503087,62100
2001-10-08,13.960000,14.030000,13.893333,13.966667,3.488932,76500
2001-10-09,13.950000,13.986667,13.916667,13.976667,3.491430,28800
2001-10-10,13.966667,14.196667,13.966667,14.183333,3.543056,21900
2001-10-11,14.250000,14.250000,14.036667,14.113333,3.525570,68100
2001-10-12,13.966667,13.983333,13.790000,13.920000,3.477273,16500
2001-10-15,13.886667,13.923333,13.813333,13.900000,3.472279,71400
2001-10-16,13.866667,13.866667,13.773333,13.783333,3.443133,18300
2001-10-17,13.800000,13.873333,13.693333,13.753333,3.435639,99600
2001-10-18,13.766667,13.903333,13.766667,13.830000,3.454791,65400
2001-10-19,13.940000,14.030000,13.856667,14.030000,3.504752,18600
2001-10-22,14.000000,14.166667,14.000000,14.153333,3.535562,17700
2001-10-23,14.133333,14.173333,14.003333,14.076667,3.516409,14700
2001-10-24,14.016667,14.133333,14.016667,14.020000,3.502256,18600
2001-10-25,13.966667,14.126667,13.836667,14.110000,3.524738,47700
2001-10-26,14.126667,14.256667,14.106667,14.140000,3.532231,15000
