Date,Open,High,Low,Close,Adj Close,Volume
1999-05-03,29.343750,29.593750,29.250000,29.562500,20.508652,13000
1999-05-04,29.687500,29.687500,29.000000,29.000000,20.118425,23000
1999-05-05,29.093750,29.312500,28.812500,29.250000,20.291857,17100
1999-05-06,29.375000,29.593750,29.312500,29.375000,20.378569,17500
1999-05-07,29.625000,29.625000,29.187500,29.281250,20.313534,8000
1999-05-10,29.312500,29.562500,29.156250,29.218750,20.270174,27300
1999-05-11,29.562500,29.750000,29.500000,29.687500,20.595367,51000
1999-05-12,29.468750,30.062500,29.406250,29.968750,20.790485,8100
1999-05-13,30.093750,30.093750,29.750000,29.781250,20.660404,9600
1999-05-14,29.125000,29.312500,29.125000,29.250000,20.291857,4600
1999-05-17,28.906250,29.062500,28.687500,29.062500,20.161776,5800
1999-05-18,28.937500,29.218750,28.750000,28.750000,19.944979,8500
1999-05-19,28.968750,29.187500,28.906250,29.093750,20.183458,12100
1999-05-20,29.250000,29.625000,29.250000,29.484375,20.454453,15300
1999-05-21,29.375000,29.375000,29.062500,29.156250,20.226820,8400
1999-05-24,29.218750,29.250000,28.468750,28.468750,19.749868,14000
1999-05-25,28.500000,28.750000,28.187500,28.187500,19.554758,7200
1999-05-26,28.375000,28.375000,27.968750,28.218750,19.576437,9300
1999-05-27,28.109375,28.109375,27.734375,27.906250,19.359648,6600
1999-05-28,28.000000,28.125000,27.953125,28.109375,19.500559,6000
1999-06-01,27.968750,28.187500,27.843750,28.187500,19.554758,4400
1999-06-02,28.343750,28.343750,27.781250,28.093750,19.489721,9200
1999-06-03,28.281250,28.437500,28.281250,28.312500,19.641476,4900
1999-06-04,28.875000,29.031250,28.812500,29.000000,20.118425,1200
1999-06-07,28.750000,28.750000,28.531250,28.750000,19.944979,4200
1999-06-08,28.625000,28.765625,28.515625,28.515625,19.782396,6400
1999-06-09,28.531250,28.750000,28.484375,28.531250,19.793238,3000
1999-06-10,28.218750,28.296875,27.937500,28.296875,19.630629,13300
1999-06-11,28.437500,28.468750,27.968750,27.968750,19.402998,2500
1999-06-14,28.250000,28.250000,28.062500,28.125000,19.511402,12700
1999-06-15,28.312500,28.687500,28.312500,28.437500,19.728195,3600
